"file","category","model","issue","resolution","code_snippet"
"Assistance with Unitree 4D L1 LIDAR Connection.md","sensor","L1 LiDAR","Customer is seeking assistance with connecting the Unitree 4D L1 LIDAR.","It is recommended to connect through the Serial Port instead of the UDP Port for the setup.",""
"3Mid-360 lidars back to china.md","hardware","L1 LiDAR","The three mid360 lidars showed abnormal resonance during testing, despite the manufacturer's report indicating no issues with the lidar itself.","The abnormal resonance may be related to the shock absorption design of the lidars. Further investigation is needed upon receiving the returned units.",""
"activate special trick of Go2 Pro..md","other","Go2 Pro","用户询问如何激活 Go2 Pro 机器人的特殊功能，如后空翻。","用户需要通过特殊功能菜单激活这些技巧。在连接 Go2 Pro 机器人并进入电机 'GO' 界面后，用户可以在右侧菜单底部找到 '特殊功能' 或 '高级功能' 选项。需要提供 SN 代码和蓝牙号码以获取激活密钥，输入密钥后即可执行高级技巧。",""
"Assistance with Unitree 4D L1 LIDAR Connection.md","sensor","L1 LiDAR","客户询问关于 Unitree 4D L1 LIDAR 的连接问题。","建议通过串口 (Serial Port) 连接，而不是通过 UDP 端口。",""
"3Mid-360 lidars back to china.md","hardware","L1 LiDAR","The three mid360 lidars showed abnormal resonance during testing, despite the manufacturer's report indicating no issues with the lidar itself.","The abnormal resonance may be related to the shock absorption design of the lidars. Further investigation is needed upon receiving the returned units.",""
"RE_ Client Support Question - K1 Arm Integration on Go2.md","control","Go2","客户询问关于在 Go2 上集成 K1 手臂的相关问题。","在安装后测试机器人，如果机器人没有表现出任何运动偏差，则无需调整负载参数。建议在没有问题的情况下保持设置不变。",""
"Re_ AW_ Follow-Up on Radar Test and Support Call.md","sdk","","用户在构建软件时遇到问题，需要重建文件。","建议用户重新安装并构建软件，以确保问题得到解决。如果问题仍然存在，将在后续会议中进一步协助检查。","cd build sudo cmake .. sudo make"
"Go2 Pro Connection and Radar Issues.md","sensor","Go2 Pro","The radar error message 'Abnormal dirt index' appears, indicating a potential obstruction in the LiDAR.","Clean the LiDAR using alcohol wipes to remove any obstructions. After cleaning, check the point cloud data in the app to confirm normal functionality.",""
"Go2 Pro Connection and Radar Issues.md","hardware","Go2 Pro","The robot flips while walking, possibly due to motor overheating.","When the robot falls, do not rush to stand it up immediately. Instead, open the app and check the motor temperature status. Additionally, perform an OTA update to ensure the robot's software is up to date.",""
"Re_ AW_ Re_ Calibrate Go2 Robot.md","other","Go2","用户在 Unitree Go 应用中寻找关于 Go2 机器人的负载配置设置。","在 Unitree Go 应用中找到关于 Go2 机器人的负载配置设置。",""
"Re_ AW_ Re_ Factory Image Go2 Expansion Dock.md","sdk","Go2","如何将工厂镜像闪存到 Go2 扩展坞的 NVME 存储设备中。","需要使用 NVME 存储读取设备，然后通过 PC 将镜像闪存到该设备中。","请查看此链接以获取更多信息：https://support.unitree.com/home/en/developer/module_update"
"Re_ AW_ Re_ AW_ AW_ AW_ Follow-Up on Radar Test and Support Call.md","control","L1 LiDAR","在运行SLAM时，机器人的默认L1雷达障碍物避免功能被禁用，而是使用扩展坞上的雷达。单点导航包括障碍物避免，但在成功映射后，如果机器人路径上有障碍物，它会停止但不会重新规划路径。","建议重建地图并根据教程再次尝试导航。需要提供缺失文件的错误信息截图以便进一步分析。",""
"Re_ AW_ Unitree Go2 Sdk _ Move function with active obstacle avoidance.md","sdk","Go2","The obstacle-avoiding function in the navigation demo had bugs, affecting the robot's ability to stop or navigate around obstacles.","An update has improved the obstacle-avoiding function, fixing previous bugs. Users can choose to make the robot stop or go around obstacles in the navigation demo. The update is still under testing.",""
"Re_ AW_ 回复：Re_ AW_ Re_ Factory Image Go2 Expansion Dock(1).md","sdk","Go2","在将系统镜像刷写到SSD硬盘后，用户需要将硬盘取出并放回扩展坞的卡槽，而不是通过USB接口连接到扩展坞。","确保在刷写系统镜像后，正确将SSD硬盘放回扩展坞的卡槽，以避免连接错误。",""
"Re_ Another Motor Failure – Left Arm Motor ID 20.md","hardware","","Left arm motor ID 20 has failed and requires replacement.","The customer needs to replace a pair of forearms.","https://global-serviceconsole.unitree.com/#/"
"Re_ Assistance Needed_ LIDAR Depth Detection and Avoidance Issues.md","sensor","Go2-W","The Go2-Wheel robot's radar does not support obstacle avoidance.","You can acquire the radar data to develop your own obstacle avoidance functionality.",""
"Re_ Arms not showing wrist control in app.md","hardware","G1","用户询问如何将一自由度的手腕更换为三自由度的手腕，是否可以通过更换前臂实现。","无法通过更换前臂将一自由度的手腕替换为三自由度的手腕。建议确认手部电机是否仍在正常工作。",""
"Re_ BETA testing of app update for G1.md","sdk","G1","在最新版本的应用更新后，部分客户无法正常通过应用更新，应用报告错误，提示客户更新到最新版本，但无法完成更新。","由于未知的bug，最新更新被紧急停止。部分客户可以正常使用，但大多数客户无法完成更新。",""
"Re_ Camera access (D435i).md","sensor","","The camera (D435i) is connecting to PC1 by default instead of NX.","You need to manually change the camera connection from PC1 to NX.",""
"Re_ Coding Issue with UnitTree Geo2(1).md","sdk","Go2","用户在运行 Unitree Go2 的教程代码时遇到问题。","用户成功运行了教程代码，确认代码正确，并提供了使用以太网连接的提示。","sudo ./sportmode_test enp7s0 # Don't forget to change 'enp7s0' with your own device name, use ifconfig to check."
"Re_ B2 Navigation.md","hardware","B2","The B2 robot is experiencing a motor encoder abnormality, which is a known warning with older batches of B2 robots.","The solution requires returning the robot to Hangzhou for motor encoder reassembly. For short-term demonstrations, this issue should not significantly affect the robot's performance, but for long-term stable use or resale, it is recommended to address it. If the B2 becomes inoperable due to motor hardware issues, replacement legs will be sent immediately.",""
"Re_ AW_ AW_ AW_ Follow-Up on Radar Test and Support Call.md","sdk","","Error while saving PCD map, likely due to permissions.","Use the command 'sudo chmod -R 777 /unitree/module/graph_pid_ws/src/task/maps/pcd/default/' to add the necessary permissions, then run the program again.","sudo chmod -R 777 /unitree/module/graph_pid_ws/src/task/maps/pcd/default/"
"Re_ AW_ AW_ AW_ Follow-Up on Radar Test and Support Call.md","control","","Steps for using the 2D map in rviz2 and sending a navigation goal.","Follow these steps: Start Mapping by pressing 'w', control the robot to the desired area, end mapping with 'e', initialize localization with 'z', set navigation points with 'x', and start automatic navigation with 'a'. Use 's' and 'd' to pause and resume navigation.","Press 'w' to start mapping. Press 'e' to end mapping. Press 'z' to initialize localization. Press 'x' to set navigation points. Press 'a' to start automatic navigation. Press 's' to pause navigation. Press 'd' to resume navigation."
"Re_ AW_ AW_ AW_ Follow-Up on Radar Test and Support Call.md","control","","Additional notes on topological connection and rviz2 configuration.","The demo program connects topological points without creating a closed loop. Manually edit the edge file to create a closed loop if needed. The rviz2 configuration files are located in /unitree/module/graph_pid_ws/src/task/rviz2 and can be loaded in rviz2 to view the mapping and navigation process.","rviz2 configuration files are located in /unitree/module/graph_pid_ws/src/task/rviz2."
"Re_ Connection Issues with Unitree Go 2 Pro.md","environment","Go2 Pro","用户遇到连接问题，可能与应用兼容性有关。","建议进行软件重置，但可能不必要。尝试完全删除并重新安装应用，确保允许必要的应用权限，并禁用任何网络代理（VPN），因为它们可能会加密通信数据，导致连接问题。确认WiFi模式连接是否正常。",""
"Re_ Controller not working.md","hardware","","The controller is not working, likely due to a faulty lithium battery inside the remote control unit.","Purchase an 18650 lithium battery locally and replace it yourself. Steps include opening the back cover, disconnecting the wires and temperature sensor from the old battery, connecting them to the new battery, and testing the remote control.",""
"Re_ Customer Go2 Falling During Greet Command.md","hardware","Go2","The Go2 robot is falling during the greet command, possibly due to motor overheating.","Calibrate the robot dog several times and check for specific error information. It may be difficult for customers to handle the calibration process, so assistance may be needed.",""
"Re_ D1-T Arm Questions.md","other","D1-T","客户询问关于 D1-T 机械臂的 IAP 更新和工厂重置的问题。","IAP 更新属于旧版本，D1-T 机械臂应为新版本，无需进行此升级。无法进行工厂重置。建议在代码中手动添加一些偏移量以达到校准目标。",""
"Re_ Casual Simulation Go2edu.md","environment","Go2 EDU","用户希望连接 Go2 EDU 机器人，需要配置网络设置。","将设备放置在 192.168.123.x 子网中以进行连接。注意，使用大学的 WiFi 可能会因为内部防火墙限制连接，因此不建议使用。",""
"Re_ Casual Simulation Go2edu.md","environment","Go2 EDU","用户需要通过 SSH 连接到 docking station。","SSH 连接到 docking station 的 IP 地址为 <IP>。",""
"Re_ Casual Simulation Go2edu.md","environment","Go2 EDU","用户希望使用 WiFi 模式控制 Go2 EDU 机器人。","确保机器人连接到用户的 WiFi，使用用户自己的 WiFi 密码进行连接。注意，大学的 WiFi 可能会限制连接。",""
"Re_ Casual Simulation Go2edu.md","other","Go2 EDU","用户寻求进一步开发的资源。","可以访问 https://support.unitree.com/home/zh/developer/about_Go2 获取更多开发信息。",""
"Re_ Formal Explanation for Go2-W.md","sensor","Go2-W","Customers cannot read LiDAR point cloud map on Unitree's app for Go2-W.","This issue will be addressed in the future, but no specific timeline is available.",""
"Re_ Fw_ GO2 - Java Script.md","sdk","Go2","客户询问关于 Go2 的 WebRTC 支持问题。","官方不提供 Go2 的 WebRTC 支持，建议参考相关文档，并在 Discord 频道 'The RoboVerse' 提问，社区成员会提供帮助。","https://github.com/legion1581/go2_webrtc_connect?tab=readme-ov-file https://wiki.theroboverse.com/"
"Re_ Fw_ New customer message on December 3, 2024 at 3_43 am.md","other","Go2","在 Unitree Go 应用中，有一个配置可以调整心脏动作的力量。用户可能需要减少这个力量。","建议用户在应用中减少心脏动作的力量，以便更好地使用产品。",""
"Re_ Fw_ New customer message on October 10, 2024 at 5_01 pm.md","other","Go2 Pro","用户询问 Go2 Pro 的充电功能。","目前可以手动使用充电板为 Go2 Pro 充电，但自动充电功能仍在开发中。",""
"Re_ Fw_ G1 left wrist sparking.md","hardware","G1","G1 left wrist sparking issue.","Using electrical tape and hot glue can solve the problems.",""
"Re_ Follow-Up on Current Issues with Unitree Robot.md","hardware","Go2","The left rear leg connection line causes paralysis in the body, thigh, and calf motors when shaken. This suggests a potential connection issue between the body motor and the thigh motor.","Try disconnecting the connection between the body motor and the thigh motor. The expected outcome is that the body motor should remain online in the app while the thigh and calf motors are disconnected. If the body motor is broken, it would align with the symptoms observed.",""
"Re_ Follow-Up on Current Issues with Unitree Robot.md","hardware","Go2","The default speaker of the Go2 distorts after continuous use at high volume for about 30 minutes.","This distortion problem is common. For better sound quality, it is suggested to modify the setup slightly and replace the original speaker.",""
"Re_ Follow-Up on Current Issues with Unitree Robot.md","environment","Go2","WiFi connectivity issue requiring specific phone model/system information.","Request for a video description to better understand the WiFi problem.",""
"Re_ Fw_ Unitree GO2 Air - Secure Mode Enabled, No Wi-Fi Broadcast.md","environment","Go2","用户无法通过 IP 访问 Go2 Air，并询问关于 'secure mode' 的截图。","建议用户更新应用到最新版本，并确认是否有尝试通过 bash 访问 PC1 板的方式。",""
"Re_ Fw_ Unitree Go1 Documentation.md","hardware","Go1","用户请求检查是否为硬件问题，并询问是否能够成功 ping 通相机。","建议用户检查相机的连接状态，并尝试 ping 相机以确认其是否正常工作。","https://global-serviceconsole.unitree.com/#/help/217"
"Re_ Go2 App Lidar Mapping Issue(1).md","other","Go2","用户在使用 Go2 应用进行 LiDAR 映射时遇到问题，可能与应用有关。","建议用户更换手机进行尝试，特别是建议使用最新更新的 iPhone 手机。",""
"Re_ G1 Accessories.md","hardware","G1","关于G1的硬件选择，询问适合的计算模块和配件。","建议使用PICO作为计算模块，Apple Vision Pro可能更好。建议先在笔记本上部署遥控演示，或在G1上使用nx板进行测试。",""
"Re_ G1 Humanoid Question.md","hardware","G1","询问关于G1机器人头部的USB-Type-C电缆连接和电源解决方案。","建议拍摄头部的USB-Type-C电缆照片，确认其为深度相机的USB电缆。将其插入颈部的USB-C端口，可以通过G1内置的NX开发板访问。当前没有提供外部电源解决方案，因机器人移动时电流过大，建议使用Unitree的官方备用电池。",""
